No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
616,ZVO,176.27M,-,14.03,-,0.44,1.60,2.01,31.48,136.20%,135.29%,-61.40%,20.00%,-8.10%,5.61,-3.44%,"250,144"
617,JRSH,64.43M,13.57,9.44,-,0.75,1.12,2.36,22.22,25.40%,38.37%,0.80%,-,16.80%,5.62,-0.58%,"15,417"
618,ADMS,153.14M,-,-,-,2.19,-,1.66,-,22.00%,35.80%,-52.90%,-,-0.40%,5.62,10.63%,"1,879,116"
619,BBCP,294.77M,-,26.51,-,0.97,1.08,44.00,7.42,-44.40%,76.67%,-,-,-,5.62,-2.09%,"92,456"
620,UIHC,242.58M,-,8.51,-,0.30,0.53,0.75,4.02,-163.00%,123.20%,-18.50%,20.00%,24.10%,5.64,-3.75%,"94,877"
621,UIHC,242.58M,-,8.51,-,0.30,0.53,0.75,4.02,-163.00%,123.20%,-18.50%,20.00%,24.10%,5.64,-3.75%,"94,877"
622,APRE,122.90M,-,-,-,-,1.34,1.22,-,-64.90%,15.90%,-,-,-,5.64,-1.05%,"1,670,406"
623,SNCR,251.32M,-,-,-,0.80,4.48,5.42,9.07,48.40%,-783.30%,-41.80%,10.00%,-7.60%,5.64,2.36%,"791,715"
624,DYAI,149.73M,-,-,-,88.07,5.18,4.93,-,-49.60%,8.60%,-11.90%,-,-33.10%,5.65,-0.88%,"95,024"
625,BVXV,67.18M,-,-,-,-,-,5.69,-,0.40%,-9900.00%,-19.00%,-,-,5.66,6.19%,"1,882,904"
626,BNSO,28.97M,79.86,-,-,2.21,1.78,3.18,-,183.90%,-,-17.10%,-,-14.70%,5.67,-2.41%,"16,621"
627,SSNT,24.81M,-,-,-,0.62,2.95,3.49,-,-656.30%,-,-54.00%,-,12.40%,5.69,1.25%,"215,373"
628,CVV,38.27M,-,-,-,1.98,1.29,4.67,-,-21.80%,-,-19.00%,-,-6.80%,5.72,11.28%,"179,525"
629,FARM,100.39M,-,-,-,0.22,0.96,9.13,-,49.90%,71.90%,-24.46%,30.00%,-1.70%,5.74,-0.52%,"367,998"
630,MRAM,110.44M,-,-,-,2.65,6.04,7.95,-,21.90%,96.70%,-0.80%,20.00%,8.50%,5.74,-4.33%,"257,073"
631,DBVT,629.30M,-,-,-,-,1.44,-,-,-32.00%,16.40%,-,20.63%,-,5.74,3.05%,"412,676"
632,CNSL,444.65M,11.08,24.06,5.54,0.34,1.06,4.46,2.37,63.40%,-66.71%,-23.30%,2.00%,16.00%,5.75,2.77%,"353,188"
633,IMBI,75.73M,-,-,-,0.17,2.42,3.99,378.64,-125.00%,9.40%,-44.99%,30.00%,-5.70%,5.75,4.93%,"59,923"
634,HFEN,53.74M,-,-,-,2.15,-,0.78,-,-19.70%,-,-,-,-,5.77,-2.27%,"16,893"
635,OCSL,813.34M,20.76,10.30,3.64,5.68,0.89,-,-,3.90%,5.70%,-16.14%,5.70%,-,5.77,0.35%,"682,470"
636,DSKE,365.99M,-,25.87,-,0.24,5.20,-,2.94,97.70%,300.00%,-,25.00%,-,5.77,-4.63%,"340,701"
637,FLNT,428.88M,151.84,30.37,3.80,1.39,2.10,27.85,35.15,-152.90%,153.33%,30.50%,40.00%,221.70%,5.77,9.07%,"3,638,889"
638,AXLA,207.56M,-,-,-,-,2.41,1.77,-,55.40%,-9.20%,-,0.00%,-,5.78,-1.20%,"57,401"
